breeds.primary,id.1,organization_id,age,gender,size,coat,tags,name_x,description,status_changed_at,published_at,distance,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
adoptable,Affenpinscher,3,3,3,3,3,0,3,3,2,3,3,3,0,3,3,3,3,3,3,3,3,3
adoptable,Akita,4,4,4,4,4,1,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4
adoptable,Alaskan Malamute,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,American Bulldog,24,24,24,24,24,3,24,24,15,24,24,24,8,24,24,24,24,24,24,24,24,24
adoptable,American Bully,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
adoptable,American Staffordshire Terrier,107,107,107,107,107,7,107,107,37,107,107,107,23,107,107,107,107,107,107,107,107,107
adoptable,Anatolian Shepherd,6,6,6,6,6,1,6,6,4,6,6,6,4,6,6,6,6,6,6,6,6,6
adoptable,Australian Cattle Dog / Blue Heeler,43,43,43,43,43,12,43,43,27,43,43,43,19,43,43,43,43,43,43,43,43,43
adoptable,Australian Kelpie,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
adoptable,Australian Shepherd,9,9,9,9,9,3,9,9,8,9,9,9,3,9,9,9,9,9,9,9,9,9
adoptable,Basenji,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adoptable,Basset Hound,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adoptable,Beagle,26,26,26,26,26,13,26,26,11,26,26,26,17,26,26,26,26,26,26,26,26,26
adoptable,Bearded Collie,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,Belgian Shepherd / Malinois,5,5,5,5,5,0,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,5
adoptable,Bernese Mountain Dog,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
adoptable,Black Labrador Retriever,30,30,30,30,30,1,30,30,23,30,30,30,22,30,30,30,30,30,30,30,30,30
adoptable,Black Mouth Cur,18,18,18,18,18,5,18,18,12,18,18,18,10,18,18,18,18,18,18,18,18,18
adoptable,Black and Tan Coonhound,3,3,3,3,3,0,3,3,2,3,3,3,0,3,3,3,3,3,3,3,3,3
adoptable,Bloodhound,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adoptable,Blue Lacy,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,Bluetick Coonhound,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,Border Collie,26,26,26,26,26,14,26,26,17,26,26,26,16,26,26,26,26,26,26,26,26,26
adoptable,Border Terrier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adoptable,Boston Terrier,8,8,8,8,8,2,8,8,8,8,8,8,3,8,8,8,8,8,8,8,8,8
adoptable,Boxer,42,42,42,42,42,9,42,42,22,42,42,42,16,42,42,42,42,42,42,42,42,42
adoptable,Bull Terrier,7,7,7,7,7,2,7,7,5,7,7,7,3,7,7,7,7,7,7,7,7,7
adoptable,Cardigan Welsh Corgi,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2
adoptable,Carolina Dog,6,6,6,6,6,0,6,6,4,6,6,6,3,6,6,6,6,6,6,6,6,6
