id.1,organization_id,age,gender,size,coat,tags,name_x,description,status,status_changed_at,published_at,distance,breeds.primary,colors.primary,attributes.spayed_neutered,attributes.house_trained,special_needs,shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
49774956,TX988,Baby,Female,Medium,Short,"['Playful', 'energetic', 'loving', 'happy', 'loyal']",Robin,"Have you met… Robin?

Robin comes from a litter named after the legen- wait for it -dary hit show, How...",adopted,11/13/20 20:04,11/12/20 23:04,4.9128,Shepherd,Apricot / Beige,TRUE,FALSE,FALSE,FALSE,San Antonio,78209,49774956,TX988,SNIPSA Inc.
49763712,TX988,Young,Female,Medium,Short,[],Lulu,Lulu loves you already — and you’ve only just met through a picture! That’s because Lulu hasn’t met a human...,adopted,11/13/20 20:04,11/11/20 21:17,4.9128,English Bulldog,Brindle,TRUE,FALSE,FALSE,TRUE,San Antonio,78209,49763712,TX988,SNIPSA Inc.
49763210,TX988,Young,Female,Medium,Short,[],Noche,"Meet Noche!

Little Noche is a super sweet and loving girl. The more you get to know her, the more...",adopted,11/13/20 14:59,11/11/20 20:29,4.9128,Retriever,Black,TRUE,FALSE,FALSE,TRUE,San Antonio,78209,49763210,TX988,SNIPSA Inc.
49761306,TX988,Young,Male,Large,Long,[],REggie,"Rescued with a few other wandering big dogs from a rural area outside of San Antonio, Reggie made his way...",adopted,11/13/20 20:04,11/11/20 18:09,4.9128,Flat-Coated Retriever,Black,TRUE,FALSE,FALSE,TRUE,San Antonio,78209,49761306,TX988,SNIPSA Inc.
49696332,TX988,Young,Female,Medium,Medium,[],Gabby,Gabby is as sweet as her coat is white and would love to just cuddle up next to you for...,adopted,11/11/20 17:04,11/4/20 20:10,4.9128,Great Pyrenees,White / Cream,TRUE,FALSE,FALSE,TRUE,San Antonio,78209,49696332,TX988,SNIPSA Inc.
49695832,TX988,Young,Male,Large,Medium,[],Clooney,"Meet this gentle giant, Clooney! 

Clooney enjoys long walks in the neighborhood, friendly spats with his canine companions, and a...",adopted,11/9/20 17:39,11/4/20 20:08,4.9128,Great Pyrenees,White / Cream,TRUE,FALSE,FALSE,TRUE,San Antonio,78209,49695832,TX988,SNIPSA Inc.
49686488,TX988,Young,Female,Large,Medium,[],Sugar & Spice,"Sugar &amp; Spice and everything nice, that’s what this girl is made of!

Sugar &amp; Spice is content laying her...",adopted,11/6/20 17:07,11/3/20 22:04,4.9128,Great Pyrenees,White / Cream,TRUE,TRUE,FALSE,TRUE,San Antonio,78209,49686488,TX988,SNIPSA Inc.
49681990,TX988,Young,Female,Medium,Short,[],Koda,Koda is one happy-go-lucky girl. There hasn’t been a time where this sweetie doesn’t melt our heart. She is always...,adopted,11/9/20 15:33,11/3/20 16:32,4.9128,Retriever,White / Cream,TRUE,TRUE,FALSE,TRUE,San Antonio,78209,49681990,TX988,SNIPSA Inc.
49677089,TX988,Young,Male,Medium,Wire,[],Gimlet,"Meet Gimlet!

This handsome scruff gets along with all! Cats, dogs, kiddos-everyone is a friend to Gimlet! Gimlet has that...",adopted,11/3/20 17:45,11/2/20 23:36,4.9128,Airedale Terrier,Red / Chestnut / Orange,TRUE,TRUE,FALSE,TRUE,San Antonio,78209,49677089,TX988,SNIPSA Inc.
49675770,TX988,Baby,Female,Medium,Short,[],Pink Lady,"Meet this little Pink Lady!

Pink Lady is the sweetest thing! She loves to cuddle up right next to you...",adopted,11/13/20 14:59,11/2/20 21:21,4.9128,Shepherd,Black,TRUE,FALSE,FALSE,TRUE,San Antonio,78209,49675770,TX988,SNIPSA Inc.
