id,id,organization_id,url,type,species,age,gender,size,coat,tags,name,description,organization_animal_id,photos,videos,status,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.spayed_neutered,attributes.house_trained,attributes.declawed,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,primary_photo_cropped.small,primary_photo_cropped.medium,primary_photo_cropped.large,primary_photo_cropped.full,contact.email,contact.phone,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,contact.address.country,animal_id,animal_type,organization_id,primary_photo_cropped
0,49789746,TX1604,https://www.petfinder.com/dog/d20-11016-49789746/tx/levelland/levelland-texas-animal-shelter-tx1604/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Female,Medium,Medium,[],D20-11016,"D20-11016 is a female puppy, one of a littler of seven that was surrendered to the Levelland shelter.    Their mother...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/1/?bust=1605372245&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/1/?bust=1605372245&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/1/?bust=1605372245&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/1/?bust=1605372245'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/2/?bust=1605372255&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/2/?bust=1605372255&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/2/?bust=1605372255&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/2/?bust=1605372255'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/3/?bust=1605372296&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/3/?bust=1605372296&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/3/?bust=1605372296&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/3/?bust=1605372296'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/4/?bust=1605372321&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/4/?bust=1605372321&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/4/?bust=1605372321&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/4/?bust=1605372321'}]",[],adoptable,2020-11-14T16:46:21+0000,2020-11-14T16:46:21+0000,117.4984,Labrador Retriever,Border Collie,True,False,Black,White / Cream,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/1/?bust=1605372245&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/1/?bust=1605372245&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/1/?bust=1605372245&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789746/1/?bust=1605372245,john.dupre@valornet.com,(806) 894-2985  ,109 Commerce Drive,,Levelland,TX,79336,US,49789746,dog,tx1604,
1,49789726,TX1604,https://www.petfinder.com/dog/d20-11015-49789726/tx/levelland/levelland-texas-animal-shelter-tx1604/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Male,Medium,Short,[],D20-11015,"D20-11015 is a male puppy, one of a littler of seven that was surrendered to the Levelland shelter.    Their mother...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/1/?bust=1605371962&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/1/?bust=1605371962&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/1/?bust=1605371962&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/1/?bust=1605371962'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/2/?bust=1605371981&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/2/?bust=1605371981&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/2/?bust=1605371981&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/2/?bust=1605371981'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/3/?bust=1605372005&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/3/?bust=1605372005&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/3/?bust=1605372005&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/3/?bust=1605372005'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/4/?bust=1605372020&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/4/?bust=1605372020&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/4/?bust=1605372020&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/4/?bust=1605372020'}]",[],adoptable,2020-11-14T16:40:46+0000,2020-11-14T16:40:46+0000,117.4984,Labrador Retriever,Border Collie,True,False,Black,White / Cream,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/1/?bust=1605371962&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/1/?bust=1605371962&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/1/?bust=1605371962&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789726/1/?bust=1605371962,john.dupre@valornet.com,(806) 894-2985  ,109 Commerce Drive,,Levelland,TX,79336,US,49789726,dog,tx1604,
2,49789678,TX1604,https://www.petfinder.com/dog/d20-11014-49789678/tx/levelland/levelland-texas-animal-shelter-tx1604/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Male,Medium,Short,[],D20-11014,"D20-11014 is a male puppy, one of a littler of seven that was surrendered to the Levelland shelter.    Their mother...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/1/?bust=1605371630&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/1/?bust=1605371630&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/1/?bust=1605371630&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/1/?bust=1605371630'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/2/?bust=1605371641&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/2/?bust=1605371641&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/2/?bust=1605371641&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/2/?bust=1605371641'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/3/?bust=1605371659&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/3/?bust=1605371659&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/3/?bust=1605371659&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/3/?bust=1605371659'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/4/?bust=1605371668&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/4/?bust=1605371668&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/4/?bust=1605371668&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/4/?bust=1605371668'}]",[],adoptable,2020-11-14T16:34:54+0000,2020-11-14T16:34:54+0000,117.4984,Labrador Retriever,Border Collie,True,False,White / Cream,,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/1/?bust=1605371630&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/1/?bust=1605371630&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/1/?bust=1605371630&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789678/1/?bust=1605371630,john.dupre@valornet.com,(806) 894-2985  ,109 Commerce Drive,,Levelland,TX,79336,US,49789678,dog,tx1604,
3,49789605,TX1604,https://www.petfinder.com/dog/d20-11013-49789605/tx/levelland/levelland-texas-animal-shelter-tx1604/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Male,Medium,,[],D20-11013,"D20-11013 is a male puppy, one of a littler of seven that was surrendered to the Levelland shelter.    Their mother...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/1/?bust=1605371363&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/1/?bust=1605371363&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/1/?bust=1605371363&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/1/?bust=1605371363'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/2/?bust=1605371374&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/2/?bust=1605371374&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/2/?bust=1605371374&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/2/?bust=1605371374'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/3/?bust=1605371385&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/3/?bust=1605371385&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/3/?bust=1605371385&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/3/?bust=1605371385'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/4/?bust=1605371395&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/4/?bust=1605371395&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/4/?bust=1605371395&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/4/?bust=1605371395'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/5/?bust=1605371424&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/5/?bust=1605371424&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/5/?bust=1605371424&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/5/?bust=1605371424'}]",[],adoptable,2020-11-14T16:30:54+0000,2020-11-14T16:30:54+0000,117.4984,Labrador Retriever,Border Collie,True,False,Black,White / Cream,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/1/?bust=1605371363&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/1/?bust=1605371363&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/1/?bust=1605371363&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789605/1/?bust=1605371363,john.dupre@valornet.com,(806) 894-2985  ,109 Commerce Drive,,Levelland,TX,79336,US,49789605,dog,tx1604,
4,49789533,TX1604,https://www.petfinder.com/dog/d20-11012-49789533/tx/levelland/levelland-texas-animal-shelter-tx1604/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Female,Medium,,[],D20-11012,"D20-11012 is a female puppy, one of a littler of seven that was surrendered to the Levelland shelter.    Their mother...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/1/?bust=1605370717&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/1/?bust=1605370717&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/1/?bust=1605370717&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/1/?bust=1605370717'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/2/?bust=1605370751&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/2/?bust=1605370751&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/2/?bust=1605370751&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/2/?bust=1605370751'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/3/?bust=1605370992&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/3/?bust=1605370992&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/3/?bust=1605370992&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/3/?bust=1605370992'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/4/?bust=1605371014&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/4/?bust=1605371014&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/4/?bust=1605371014&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/4/?bust=1605371014'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/5/?bust=1605371029&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/5/?bust=1605371029&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/5/?bust=1605371029&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/5/?bust=1605371029'}]",[],adoptable,2020-11-14T16:24:28+0000,2020-11-14T16:24:28+0000,117.4984,Labrador Retriever,Border Collie,True,False,White / Cream,,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/1/?bust=1605370717&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/1/?bust=1605370717&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/1/?bust=1605370717&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789533/1/?bust=1605370717,john.dupre@valornet.com,(806) 894-2985  ,109 Commerce Drive,,Levelland,TX,79336,US,49789533,dog,tx1604,
5,49789437,TX1604,https://www.petfinder.com/dog/d20-11011-49789437/tx/levelland/levelland-texas-animal-shelter-tx1604/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Female,Medium,Short,[],D20-11011,"D20-11011 is a female puppy, one of a littler of seven that was surrendered to the Levelland shelter.  Their mother...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/1/?bust=1605370357&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/1/?bust=1605370357&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/1/?bust=1605370357&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/1/?bust=1605370357'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/2/?bust=1605370388&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/2/?bust=1605370388&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/2/?bust=1605370388&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/2/?bust=1605370388'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/3/?bust=1605370407&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/3/?bust=1605370407&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/3/?bust=1605370407&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/3/?bust=1605370407'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/4/?bust=1605370421&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/4/?bust=1605370421&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/4/?bust=1605370421&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/4/?bust=1605370421'}]",[],adoptable,2020-11-14T16:14:00+0000,2020-11-14T16:14:00+0000,117.4984,Labrador Retriever,Border Collie,True,False,Black,White / Cream,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/1/?bust=1605370357&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/1/?bust=1605370357&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/1/?bust=1605370357&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789437/1/?bust=1605370357,john.dupre@valornet.com,(806) 894-2985  ,109 Commerce Drive,,Levelland,TX,79336,US,49789437,dog,tx1604,
6,49789419,TX1604,https://www.petfinder.com/dog/d20-11010-49789419/tx/levelland/levelland-texas-animal-shelter-tx1604/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Male,Medium,Short,[],D20-11010,"D20-11010 is a male puppy, one of a littler of seven that was surrendered to the Levelland shelter.    Their mother...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/1/?bust=1605369889&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/1/?bust=1605369889&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/1/?bust=1605369889&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/1/?bust=1605369889'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/2/?bust=1605369906&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/2/?bust=1605369906&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/2/?bust=1605369906&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/2/?bust=1605369906'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/3/?bust=1605369916&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/3/?bust=1605369916&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/3/?bust=1605369916&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/3/?bust=1605369916'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/4/?bust=1605369926&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/4/?bust=1605369926&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/4/?bust=1605369926&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/4/?bust=1605369926'}]",[],adoptable,2020-11-14T16:05:52+0000,2020-11-14T16:05:52+0000,117.4984,Labrador Retriever,Border Collie,True,False,Black,White / Cream,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/1/?bust=1605369889&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/1/?bust=1605369889&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/1/?bust=1605369889&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49789419/1/?bust=1605369889,john.dupre@valornet.com,(806) 894-2985  ,109 Commerce Drive,,Levelland,TX,79336,US,49789419,dog,tx1604,
7,49787839,TX2287,https://www.petfinder.com/dog/angel-49787839/tx/lubbock/lubbock-animal-services-tx2287/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Female,Large,,[],Angel,&amp;lt;&amp;lt;ShelterCode&amp;gt;&amp;gt;,23933,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787839/1/?bust=1605348661&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787839/1/?bust=1605348661&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787839/1/?bust=1605348661&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787839/1/?bust=1605348661'}]",[],adoptable,2020-11-14T10:00:48+0000,2020-11-14T10:00:48+0000,115.2064,German Shepherd Dog,,False,False,,,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787839/1/?bust=1605348661&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787839/1/?bust=1605348661&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787839/1/?bust=1605348661&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787839/1/?bust=1605348661,lubbockanimalservices@mylubbock.us,(806) 775-2057,3323 SE Loop 289,,Lubbock,TX,79404,US,49787839,dog,tx2287,
8,49787830,TX2287,https://www.petfinder.com/dog/jenny-49787830/tx/lubbock/lubbock-animal-services-tx2287/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Female,Medium,,[],Jenny,Found at the 7700 block of MLK&amp;lt;&amp;lt;ShelterCode&amp;gt;&amp;gt;,22892,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787830/1/?bust=1605348684&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787830/1/?bust=1605348684&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787830/1/?bust=1605348684&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787830/1/?bust=1605348684'}]",[],adoptable,2020-11-14T10:00:48+0000,2020-11-14T10:00:48+0000,115.2064,German Shepherd Dog,,False,False,,,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787830/1/?bust=1605348684&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787830/1/?bust=1605348684&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787830/1/?bust=1605348684&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787830/1/?bust=1605348684,lubbockanimalservices@mylubbock.us,(806) 775-2057,3323 SE Loop 289,,Lubbock,TX,79404,US,49787830,dog,tx2287,
9,49787837,TX2287,https://www.petfinder.com/dog/wrangler-49787837/tx/lubbock/lubbock-animal-services-tx2287/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Large,,[],Wrangler,was found on 80th and ave L&amp;lt;&amp;lt;ShelterCode&amp;gt;&amp;gt;,24328,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787837/1/?bust=1605348670&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787837/1/?bust=1605348670&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787837/1/?bust=1605348670&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787837/1/?bust=1605348670'}]",[],adoptable,2020-11-14T10:00:48+0000,2020-11-14T10:00:48+0000,115.2064,Labrador Retriever,,False,False,,,,False,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787837/1/?bust=1605348670&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787837/1/?bust=1605348670&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787837/1/?bust=1605348670&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49787837/1/?bust=1605348670,lubbockanimalservices@mylubbock.us,(806) 775-2057,3323 SE Loop 289,,Lubbock,TX,79404,US,49787837,dog,tx2287,
