id,id,organization_id,url,type,species,age,gender,size,coat,tags,name,description,organization_animal_id,photos,videos,status,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.spayed_neutered,attributes.house_trained,attributes.declawed,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,primary_photo_cropped.small,primary_photo_cropped.medium,primary_photo_cropped.large,primary_photo_cropped.full,contact.email,contact.phone,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,contact.address.country,animal_id,animal_type,organization_id
0,49747803,TX1492,https://www.petfinder.com/dog/short-cake-divinity-44784-49747803/tx/pampa/pampa-animal-welfare-society-tx1492/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Female,Small,,[],Short Cake Divinity 44784,"Ok, I&amp;#39;ll fudge it that I&amp;#39;m happy in here with the rest of these jailbirds. I&amp;#39;m as heavenly as a...",16233255,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/1/?bust=1605306526&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/1/?bust=1605306526&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/1/?bust=1605306526&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/1/?bust=1605306526'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/2/?bust=1605306527&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/2/?bust=1605306527&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/2/?bust=1605306527&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/2/?bust=1605306527'}]",[],adopted,2020-11-11T00:35:31+0000,2020-11-10T14:59:37+0000,53.5751,Shih Tzu,,False,False,,,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/1/?bust=1605306526&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/1/?bust=1605306526&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/1/?bust=1605306526&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747803/1/?bust=1605306526,fmcurry@nts-online.net,806 664-1615 ,P.O. Box 2095,,Pampa,TX,79065,US,49747803,dog,tx1492
1,49747765,TX1492,https://www.petfinder.com/dog/jill-went-up-the-hill-44774-49747765/tx/pampa/pampa-animal-welfare-society-tx1492/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Female,Medium,,[],Jill went up the Hill 44774,"Hi, my name is Jill and I&amp;#39;ve gotten my fill. Jack sold me a fine bill of goods. He said...",16233168,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/1/?bust=1605306586&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/1/?bust=1605306586&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/1/?bust=1605306586&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/1/?bust=1605306586'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/2/?bust=1605306587&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/2/?bust=1605306587&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/2/?bust=1605306587&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/2/?bust=1605306587'}]",[],adopted,2020-11-11T00:35:31+0000,2020-11-10T14:43:38+0000,53.5751,Black Labrador Retriever,,False,False,,,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/1/?bust=1605306586&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/1/?bust=1605306586&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/1/?bust=1605306586&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747765/1/?bust=1605306586,fmcurry@nts-online.net,806 664-1615 ,P.O. Box 2095,,Pampa,TX,79065,US,49747765,dog,tx1492
2,49747707,TX1492,https://www.petfinder.com/dog/razzie-jazzie-44786-49747707/tx/pampa/pampa-animal-welfare-society-tx1492/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Female,Medium,,[],Razzie Jazzie 44786,Razzie Jazzie is my name and playing is my game. I&amp;#39;m curious about everything around me and the world is...,16233161,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/1/?bust=1605306527&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/1/?bust=1605306527&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/1/?bust=1605306527&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/1/?bust=1605306527'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/2/?bust=1605306525&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/2/?bust=1605306525&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/2/?bust=1605306525&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/2/?bust=1605306525'}]",[],adopted,2020-11-11T00:35:31+0000,2020-11-10T14:29:23+0000,53.5751,Australian Cattle Dog / Blue Heeler,,False,False,,,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/1/?bust=1605306527&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/1/?bust=1605306527&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/1/?bust=1605306527&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747707/1/?bust=1605306527,fmcurry@nts-online.net,806 664-1615 ,P.O. Box 2095,,Pampa,TX,79065,US,49747707,dog,tx1492
3,49747536,TX1492,https://www.petfinder.com/dog/benji-biscuit-44740-49747536/tx/pampa/pampa-animal-welfare-society-tx1492/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Small,,[],Benji Biscuit 44740,"Well, butter my be-hind and call me a biscuit! How did I find myself in this bread basket? Shoot, I...",16233140,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/1/?bust=1605313864&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/1/?bust=1605313864&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/1/?bust=1605313864&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/1/?bust=1605313864'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/3/?bust=1605313817&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/3/?bust=1605313817&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/3/?bust=1605313817&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/3/?bust=1605313817'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/2/?bust=1605313825&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/2/?bust=1605313825&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/2/?bust=1605313825&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/2/?bust=1605313825'}]",[],adopted,2020-11-14T00:19:39+0000,2020-11-10T13:59:45+0000,53.5751,Terrier,,False,False,,,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/1/?bust=1605313864&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/1/?bust=1605313864&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/1/?bust=1605313864&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747536/1/?bust=1605313864,fmcurry@nts-online.net,806 664-1615 ,P.O. Box 2095,,Pampa,TX,79065,US,49747536,dog,tx1492
4,49747535,TX1492,https://www.petfinder.com/dog/peaches-is-a-peach-44735-49747535/tx/pampa/pampa-animal-welfare-society-tx1492/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,,[],Peaches is a Peach 44735,I&amp;#39;m as sweet as my name implies but I&amp;#39;m not from Georgia! My fur is as soft as a peach...,16233144,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/1/?bust=1605306524&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/1/?bust=1605306524&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/1/?bust=1605306524&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/1/?bust=1605306524'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/3/?bust=1605306522&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/3/?bust=1605306522&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/3/?bust=1605306522&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/3/?bust=1605306522'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/2/?bust=1605306522&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/2/?bust=1605306522&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/2/?bust=1605306522&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/2/?bust=1605306522'}]",[],adopted,2020-11-13T22:18:38+0000,2020-11-10T13:59:45+0000,53.5751,Chocolate Labrador Retriever,Beagle,True,False,,,,True,True,,False,True,True,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/1/?bust=1605306524&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/1/?bust=1605306524&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/1/?bust=1605306524&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49747535/1/?bust=1605306524,fmcurry@nts-online.net,806 664-1615 ,P.O. Box 2095,,Pampa,TX,79065,US,49747535,dog,tx1492
5,49745379,TX1976,https://www.petfinder.com/dog/hattie-49745379/tx/levelland/lazarus-rescue-foundation-tx1976/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Large,,['Loving playfully likes toys'],Hattie,She is a love bug. Good with everyone.,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/1/?bust=1604975428&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/1/?bust=1604975428&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/1/?bust=1604975428&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/1/?bust=1604975428'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/2/?bust=1604975451&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/2/?bust=1604975451&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/2/?bust=1604975451&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/2/?bust=1604975451'}]",[],adopted,2020-11-10T03:02:37+0000,2020-11-10T02:32:42+0000,117.4984,Bloodhound,,False,False,Black,Yellow / Tan / Blond / Fawn,,True,True,,False,True,True,True,False,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/1/?bust=1604975428&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/1/?bust=1604975428&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/1/?bust=1604975428&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745379/1/?bust=1604975428,april.lightner1976@gmail.com,,,,Levelland,TX,79336,US,49745379,dog,tx1976
6,49745353,TX1976,https://www.petfinder.com/dog/red-49745353/tx/levelland/lazarus-rescue-foundation-tx1976/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Extra Large,,['Loving'],Red,He has had some tracking training.,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/2/?bust=1604975124&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/2/?bust=1604975124&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/2/?bust=1604975124&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/2/?bust=1604975124'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/1/?bust=1604975083&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/1/?bust=1604975083&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/1/?bust=1604975083&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/1/?bust=1604975083'}]",[],adopted,2020-11-10T03:02:07+0000,2020-11-10T02:28:21+0000,117.4984,Bloodhound,,False,False,Red / Chestnut / Orange,,,True,True,,False,True,True,True,False,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/2/crop/?bust=1604975124&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/2/crop/?bust=1604975124&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/2/crop/?bust=1604975124&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49745353/2/crop/?bust=1604975124,april.lightner1976@gmail.com,,,,Levelland,TX,79336,US,49745353,dog,tx1976
7,49679723,TX2068,https://www.petfinder.com/dog/zoe-49679723/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Female,Medium,Short,[],Zoe,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49679723/1/?bust=1604395558&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49679723/1/?bust=1604395558&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49679723/1/?bust=1604395558&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49679723/1/?bust=1604395558'}]",[],adopted,2020-11-10T23:41:09+0000,2020-11-03T09:26:32+0000,0.0291,German Shepherd Dog,,True,False,,,,True,True,,False,True,,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49679723/1/?bust=1604395558&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49679723/1/?bust=1604395558&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49679723/1/?bust=1604395558&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49679723/1/?bust=1604395558,panhandlepawsofhope@gmail.com,,PO Box 2525,,Amarillo,TX,79105,US,49679723,dog,tx2068
8,49649842,TX1492,https://www.petfinder.com/dog/shelly-bonsai-44668-49649842/tx/pampa/pampa-animal-welfare-society-tx1492/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Female,Medium,,[],Shelly Bonsai 44668,I know that a Bonsai tree is a thing of beauty and I hope to live up to my name....,16201638,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/1/?bust=1605306588&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/1/?bust=1605306588&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/1/?bust=1605306588&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/1/?bust=1605306588'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/2/?bust=1605306526&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/2/?bust=1605306526&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/2/?bust=1605306526&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/2/?bust=1605306526'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/3/?bust=1605306527&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/3/?bust=1605306527&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/3/?bust=1605306527&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/3/?bust=1605306527'}]",[],adopted,2020-11-13T22:18:39+0000,2020-10-30T19:19:37+0000,53.5751,Cattle Dog,,False,False,,,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/1/?bust=1605306588&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/1/?bust=1605306588&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/1/?bust=1605306588&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649842/1/?bust=1605306588,fmcurry@nts-online.net,806 664-1615 ,P.O. Box 2095,,Pampa,TX,79065,US,49649842,dog,tx1492
9,49649841,TX1492,https://www.petfinder.com/dog/zeus-mount-olympic-44667-49649841/tx/pampa/pampa-animal-welfare-society-tx1492/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Large,,[],Zeus Mount Olympic 44667,My head is not in the clouds! I&amp;#39;m a down to earth dog with all four feet firmly planted on...,16201623,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/1/?bust=1605220766&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/1/?bust=1605220766&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/1/?bust=1605220766&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/1/?bust=1605220766'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/3/?bust=1605220741&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/3/?bust=1605220741&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/3/?bust=1605220741&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/3/?bust=1605220741'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/2/?bust=1605220742&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/2/?bust=1605220742&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/2/?bust=1605220742&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/2/?bust=1605220742'}]",[],adopted,2020-10-31T00:08:05+0000,2020-10-30T19:19:36+0000,53.5751,Rottweiler,,False,False,,,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/1/?bust=1605220766&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/1/?bust=1605220766&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/1/?bust=1605220766&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49649841/1/?bust=1605220766,fmcurry@nts-online.net,806 664-1615 ,P.O. Box 2095,,Pampa,TX,79065,US,49649841,dog,tx1492
