id,id,organization_id,url,type,species,age,gender,size,name,status,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,attributes.spayed_neutered,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.state,contact.address.postcode
69,49730907,TX2068,https://www.petfinder.com/dog/tango-49730907/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Tango,adoptable,2020-11-08T15:08:19+0000,2020-11-08T15:08:19+0000,0.0291,German Shepherd Dog,,TRUE,FALSE,TRUE,Amarillo,TX,79105
88,49590153,TX2068,https://www.petfinder.com/dog/karson-49590153/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Male,Small,Karson,adoptable,2020-10-24T21:05:19+0000,2020-10-24T21:05:19+0000,0.0291,Pointer,Jack Russell Terrier,FALSE,FALSE,FALSE,Amarillo,TX,79105
89,49590144,TX2068,https://www.petfinder.com/dog/kirby-49590144/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Male,Small,Kirby,adoptable,2020-10-24T21:03:34+0000,2020-10-24T21:03:34+0000,0.0291,Pointer,Jack Russell Terrier,FALSE,FALSE,FALSE,Amarillo,TX,79105
98,49539746,TX2068,https://www.petfinder.com/dog/puppies-49539746/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Male,Small,Puppies,adoptable,2020-10-21T02:29:01+0000,2020-10-21T02:29:01+0000,0.0291,Pointer,Jack Russell Terrier,FALSE,FALSE,FALSE,Amarillo,TX,79105
99,49539728,TX2068,https://www.petfinder.com/dog/puppies-49539728/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Female,Small,Puppies,adoptable,2020-10-21T02:23:53+0000,2020-10-21T02:23:53+0000,0.0291,Pointer,Jack Russell Terrier,FALSE,FALSE,FALSE,Amarillo,TX,79105
103,49460524,TX2068,https://www.petfinder.com/dog/lady-49460524/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Lady,adoptable,2020-10-14T21:36:31+0000,2020-10-14T21:36:31+0000,0.0291,German Shepherd Dog,Labrador Retriever,TRUE,FALSE,TRUE,Amarillo,TX,79105
115,49322379,TX2068,https://www.petfinder.com/dog/gypsy-49322379/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Gypsy,adoptable,2020-10-03T15:52:06+0000,2020-10-03T15:52:06+0000,0.0291,German Shepherd Dog,,TRUE,FALSE,TRUE,Amarillo,TX,79105
130,49188626,TX2068,https://www.petfinder.com/dog/bear-49188626/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Bear,adoptable,2020-09-23T01:42:41+0000,2020-09-23T01:42:41+0000,0.0291,Labrador Retriever,,TRUE,FALSE,TRUE,Amarillo,TX,79105
131,49188614,TX2068,https://www.petfinder.com/dog/onyx-49188614/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Male,Medium,Onyx,adoptable,2020-09-23T01:40:30+0000,2020-09-23T01:40:30+0000,0.0291,Great Dane,Greyhound,TRUE,FALSE,TRUE,Amarillo,TX,79105
136,49131560,TX2068,https://www.petfinder.com/dog/rex-49131560/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Rex,adoptable,2020-09-17T22:35:06+0000,2020-09-17T22:35:06+0000,0.0291,German Shepherd Dog,,TRUE,FALSE,TRUE,Amarillo,TX,79105
138,49089471,TX1812,https://www.petfinder.com/dog/ginger-49089471/tx/amarillo/top-of-texas-corgi-rescue-tx1812/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Female,Medium,Ginger,adoptable,2020-09-14T16:01:28+0000,2020-09-14T16:01:28+0000,3.0559,Corgi,,TRUE,TRUE,TRUE,Amarillo,TX,79103
150,48911795,TX2068,https://www.petfinder.com/dog/bruno-48911795/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Medium,Bruno,adoptable,2020-08-29T03:22:08+0000,2020-08-29T03:22:08+0000,0.0291,Labrador Retriever,Hound,FALSE,FALSE,TRUE,Amarillo,TX,79105
158,48753033,TX2068,https://www.petfinder.com/dog/kona-48753033/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Kona,adoptable,2020-08-12T01:05:08+0000,2020-08-12T01:05:08+0000,0.0291,Pit Bull Terrier,,TRUE,FALSE,TRUE,Amarillo,TX,79105
173,48481828,TX2068,https://www.petfinder.com/dog/jax-48481828/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Jax,adoptable,2020-07-14T02:57:17+0000,2020-07-14T02:57:17+0000,0.0291,German Shepherd Dog,,TRUE,FALSE,TRUE,Amarillo,TX,79105
247,48146820,TX2068,https://www.petfinder.com/dog/parker-48146820/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Large,Parker,adoptable,2020-06-05T23:24:59+0000,2020-06-05T23:24:59+0000,0.0291,Greyhound,Great Dane,TRUE,FALSE,TRUE,Amarillo,TX,79105
250,48021935,TX2068,https://www.petfinder.com/dog/rosie-48021935/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Rosie,adoptable,2020-05-19T22:20:21+0000,2020-05-19T22:20:21+0000,0.0291,Anatolian Shepherd,,TRUE,FALSE,TRUE,Amarillo,TX,79105
251,48021910,TX2068,https://www.petfinder.com/dog/allie-48021910/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Allie,adoptable,2020-05-19T22:15:10+0000,2020-05-19T22:15:10+0000,0.0291,Doberman Pinscher,German Shepherd Dog,TRUE,FALSE,TRUE,Amarillo,TX,79105
259,47823081,TX2068,https://www.petfinder.com/dog/owen-47823081/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Owen,adoptable,2020-04-16T21:38:00+0000,2020-04-16T21:38:00+0000,0.0291,Pit Bull Terrier,,TRUE,FALSE,TRUE,Amarillo,TX,79105
261,47681904,TX2068,https://www.petfinder.com/dog/boone-47681904/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Boone,adoptable,2020-03-23T17:30:28+0000,2020-03-23T17:30:28+0000,0.0291,Pit Bull Terrier,,TRUE,FALSE,TRUE,Amarillo,TX,79105
264,47440081,TX2068,https://www.petfinder.com/dog/wonder-47440081/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Male,Large,Wonder,adoptable,2020-03-02T21:10:27+0000,2020-03-02T21:10:27+0000,0.0291,Labrador Retriever,,TRUE,FALSE,TRUE,Amarillo,TX,79105
265,47430627,TX2068,https://www.petfinder.com/dog/chloe-47430627/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Chloe,adoptable,2020-02-20T21:40:15+0000,2020-02-20T21:40:15+0000,0.0291,Terrier,,TRUE,FALSE,TRUE,Amarillo,TX,79105
269,46215020,TX2068,https://www.petfinder.com/dog/daisy-46215020/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Daisy,adoptable,2019-10-08T20:35:09+0000,2019-10-08T20:35:09+0000,0.0291,Border Collie,,TRUE,FALSE,TRUE,Amarillo,TX,79105
278,43722169,TX2068,https://www.petfinder.com/dog/norman-43722169/tx/amarillo/panhandle-paws-of-hope-tx2068/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,Norman,adoptable,2019-01-08T20:58:50+0000,2019-01-08T20:58:50+0000,0.0291,Terrier,,TRUE,FALSE,TRUE,Amarillo,TX,79105
97,49541505,TX2053,https://www.petfinder.com/dog/cody-49541505/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Medium,Cody,adoptable,2020-10-21T08:56:47+0000,2020-10-21T08:56:47+0000,113.0569,Catahoula Leopard Dog,Labrador Retriever,FALSE,FALSE,FALSE,Crosbyton,TX,79322
132,49187422,TX2053,https://www.petfinder.com/dog/star-49187422/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Star,adoptable,2020-09-23T00:03:31+0000,2020-09-23T00:03:31+0000,113.0569,Pit Bull Terrier,,TRUE,FALSE,TRUE,Crosbyton,TX,79322
139,49077860,TX2053,https://www.petfinder.com/dog/barney-49077860/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Barney,adoptable,2020-09-13T08:56:49+0000,2020-09-13T08:56:49+0000,113.0569,Pit Bull Terrier,Labrador Retriever,TRUE,FALSE,TRUE,Crosbyton,TX,79322
140,49077857,TX2053,https://www.petfinder.com/dog/lucy-49077857/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Lucy,adoptable,2020-09-13T08:56:49+0000,2020-09-13T08:56:49+0000,113.0569,German Shepherd Dog,Chow Chow,TRUE,FALSE,TRUE,Crosbyton,TX,79322
141,49077865,TX2053,https://www.petfinder.com/dog/honey-49077865/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Honey,adoptable,2020-09-13T08:56:49+0000,2020-09-13T08:56:49+0000,113.0569,Pit Bull Terrier,Labrador Retriever,TRUE,FALSE,TRUE,Crosbyton,TX,79322
255,47896878,TX2053,https://www.petfinder.com/dog/owen-47896878/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Large,Owen,adoptable,2020-04-29T18:36:41+0000,2020-04-29T18:36:41+0000,113.0569,Pit Bull Terrier,,TRUE,FALSE,TRUE,Crosbyton,TX,79322
258,47874851,TX2053,https://www.petfinder.com/dog/daisy-47874851/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Female,Medium,Daisy,adoptable,2020-04-25T18:36:47+0000,2020-04-25T18:36:47+0000,113.0569,Pit Bull Terrier,,FALSE,FALSE,FALSE,Crosbyton,TX,79322
263,47570504,TX2053,https://www.petfinder.com/dog/hope-47570504/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Female,Medium,Hope,adoptable,2020-03-09T01:02:19+0000,2020-03-09T01:02:19+0000,113.0569,Pit Bull Terrier,Mixed Breed,TRUE,FALSE,TRUE,Crosbyton,TX,79322
267,47018150,TX2053,https://www.petfinder.com/dog/greta-47018150/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Female,Medium,Greta,adoptable,2020-01-03T19:37:14+0000,2020-01-03T19:37:14+0000,113.0569,Chihuahua,,FALSE,FALSE,FALSE,Crosbyton,TX,79322
268,46821121,TX2053,https://www.petfinder.com/dog/oreo-46821121/tx/crosbyton/animal-rescue-of-crosby-county-tx2053/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Oreo,adoptable,2019-12-11T20:28:14+0000,2019-12-11T20:28:14+0000,113.0569,Pit Bull Terrier,,TRUE,FALSE,TRUE,Crosbyton,TX,79322
102,49462199,TX644,https://www.petfinder.com/dog/almond-49462199/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,ALMOND,adoptable,2020-10-14T23:25:33+0000,2020-10-14T23:25:33+0000,70.4342,Husky,,FALSE,FALSE,TRUE,Dalhart,TX,79022
108,49348275,TX644,https://www.petfinder.com/dog/grandpa-49348275/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Male,Small,GRANDPA,adoptable,2020-10-05T21:25:15+0000,2020-10-05T21:25:15+0000,70.4342,Australian Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
109,49348280,TX644,https://www.petfinder.com/dog/greta-49348280/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,GRETA,adoptable,2020-10-05T21:25:15+0000,2020-10-05T21:25:15+0000,70.4342,Pit Bull Terrier,,FALSE,FALSE,TRUE,Dalhart,TX,79022
110,49348296,TX644,https://www.petfinder.com/dog/ruth-49348296/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Female,Small,RUTH,adoptable,2020-10-05T21:25:15+0000,2020-10-05T21:25:15+0000,70.4342,Australian Cattle Dog / Blue Heeler,,FALSE,FALSE,TRUE,Dalhart,TX,79022
111,49348285,TX644,https://www.petfinder.com/dog/gus-49348285/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Male,Small,GUS,adoptable,2020-10-05T21:25:15+0000,2020-10-05T21:25:15+0000,70.4342,Rottweiler,,FALSE,FALSE,TRUE,Dalhart,TX,79022
112,49348283,TX644,https://www.petfinder.com/dog/ralph-49348283/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Small,RALPH,adoptable,2020-10-05T21:25:15+0000,2020-10-05T21:25:15+0000,70.4342,Cattle Dog,,FALSE,FALSE,TRUE,Dalhart,TX,79022
123,49239386,TX644,https://www.petfinder.com/dog/rocky-ii-49239386/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Senior,Male,Medium,ROCKY II,adoptable,2020-09-27T01:25:33+0000,2020-09-27T01:25:33+0000,70.4342,Shepherd,,TRUE,FALSE,TRUE,Dalhart,TX,79022
124,49239387,TX644,https://www.petfinder.com/dog/thelma-49239387/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,THELMA,adoptable,2020-09-27T01:25:33+0000,2020-09-27T01:25:33+0000,70.4342,Pit Bull Terrier,,FALSE,FALSE,TRUE,Dalhart,TX,79022
133,49153610,TX644,https://www.petfinder.com/dog/cujo-49153610/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,CUJO,adoptable,2020-09-19T22:25:24+0000,2020-09-19T22:25:24+0000,70.4342,Anatolian Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
134,49153611,TX644,https://www.petfinder.com/dog/big-joe-49153611/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,BIG JOE,adoptable,2020-09-19T22:25:24+0000,2020-09-19T22:25:24+0000,70.4342,Anatolian Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
162,48580117,TX644,https://www.petfinder.com/dog/baylor-48580117/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Small,BAYLOR,adoptable,2020-07-24T00:25:23+0000,2020-07-24T00:25:23+0000,70.4342,Labrador Retriever,Pit Bull Terrier,FALSE,FALSE,TRUE,Dalhart,TX,79022
163,48580121,TX644,https://www.petfinder.com/dog/nola-48580121/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,NOLA,adoptable,2020-07-24T00:25:23+0000,2020-07-24T00:25:23+0000,70.4342,Pit Bull Terrier,,FALSE,FALSE,TRUE,Dalhart,TX,79022
164,48580118,TX644,https://www.petfinder.com/dog/duke-48580118/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Small,DUKE,adoptable,2020-07-24T00:25:23+0000,2020-07-24T00:25:23+0000,70.4342,Labrador Retriever,,FALSE,FALSE,TRUE,Dalhart,TX,79022
165,48580119,TX644,https://www.petfinder.com/dog/bob-48580119/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Small,BOB,adoptable,2020-07-24T00:25:23+0000,2020-07-24T00:25:23+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
166,48580114,TX644,https://www.petfinder.com/dog/booker-48580114/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,BOOKER,adoptable,2020-07-24T00:25:23+0000,2020-07-24T00:25:23+0000,70.4342,Pit Bull Terrier,,FALSE,FALSE,TRUE,Dalhart,TX,79022
175,48356971,TX644,https://www.petfinder.com/dog/roy-48356971/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,ROY,adoptable,2020-06-30T02:25:28+0000,2020-06-30T02:25:28+0000,70.4342,Hound,,FALSE,FALSE,TRUE,Dalhart,TX,79022
176,48356972,TX644,https://www.petfinder.com/dog/ryan-48356972/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,RYAN,adoptable,2020-06-30T02:25:28+0000,2020-06-30T02:25:28+0000,70.4342,Black Labrador Retriever,,FALSE,FALSE,TRUE,Dalhart,TX,79022
177,48356970,TX644,https://www.petfinder.com/dog/simon-48356970/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,SIMON,adoptable,2020-06-30T02:25:28+0000,2020-06-30T02:25:28+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
178,48356969,TX644,https://www.petfinder.com/dog/spike-48356969/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,SPIKE,adoptable,2020-06-30T02:25:28+0000,2020-06-30T02:25:28+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
179,48356688,TX644,https://www.petfinder.com/dog/valerie-48356688/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,VALERIE,adoptable,2020-06-30T01:25:14+0000,2020-06-30T01:25:14+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
180,48356688,TX644,https://www.petfinder.com/dog/valerie-48356688/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,VALERIE,adoptable,2020-06-30T01:25:14+0000,2020-06-30T01:25:14+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
181,48317466,TX644,https://www.petfinder.com/dog/elroy-48317466/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Small,Elroy,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
182,48317403,TX644,https://www.petfinder.com/dog/bella2-48317403/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,BELLA2,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Labrador Retriever,,FALSE,FALSE,TRUE,Dalhart,TX,79022
183,48317381,TX644,https://www.petfinder.com/dog/ben-48317381/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,Ben,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Labrador Retriever,,FALSE,FALSE,TRUE,Dalhart,TX,79022
