breeds.primary,0
adoptable,Affenpinscher,3
adoptable,Akita,4
adoptable,Alaskan Malamute,1
adoptable,American Bulldog,24
adoptable,American Bully,2
adoptable,American Staffordshire Terrier,107
adoptable,Anatolian Shepherd,6
adoptable,Australian Cattle Dog / Blue Heeler,43
adoptable,Australian Kelpie,5
adoptable,Australian Shepherd,9
adoptable,Basenji,1
adoptable,Basset Hound,2
adoptable,Beagle,26
adoptable,Bearded Collie,1
adoptable,Belgian Shepherd / Malinois,5
adoptable,Bernese Mountain Dog,2
adoptable,Black Labrador Retriever,30
adoptable,Black Mouth Cur,18
adoptable,Black and Tan Coonhound,3
adoptable,Bloodhound,1
adoptable,Blue Lacy,1
adoptable,Bluetick Coonhound,1
adoptable,Border Collie,26
adoptable,Border Terrier,1
adoptable,Boston Terrier,8
adoptable,Boxer,42
adoptable,Bull Terrier,7
adoptable,Cardigan Welsh Corgi,2
adoptable,Carolina Dog,6
adoptable,Catahoula Leopard Dog,22
adoptable,Cattle Dog,19
adoptable,Chihuahua,93
adoptable,Chiweenie,2
adoptable,Chocolate Labrador Retriever,7
adoptable,Chow Chow,8
adoptable,Cocker Spaniel,9
adoptable,Collie,5
adoptable,Coonhound,3
adoptable,Corgi,2
adoptable,Dachshund,37
adoptable,Doberman Pinscher,10
adoptable,Dogo Argentino,2
adoptable,Dutch Shepherd,1
adoptable,English Bulldog,6
adoptable,English Pointer,2
adoptable,Fox Terrier,2
adoptable,French Bulldog,2
adoptable,German Shepherd Dog,70
adoptable,German Wirehaired Pointer,1
adoptable,Golden Retriever,6
adoptable,Great Dane,23
adoptable,Great Pyrenees,19
adoptable,Hound,31
adoptable,Husky,18
adoptable,Irish Wolfhound,1
adoptable,Jack Russell Terrier,10
adoptable,Labradoodle,1
adoptable,Labrador Retriever,193
adoptable,Maltese,3
adoptable,Mastiff,5
adoptable,Miniature Pinscher,4
adoptable,Mixed Breed,90
adoptable,Mountain Cur,3
adoptable,Old English Sheepdog,1
adoptable,Parson Russell Terrier,1
adoptable,Pekingese,2
adoptable,Pit Bull Terrier,187
adoptable,Plott Hound,13
adoptable,Pointer,9
adoptable,Pomeranian,3
adoptable,Poodle,2
adoptable,Pug,2
adoptable,Rat Terrier,19
adoptable,Redbone Coonhound,2
adoptable,Retriever,13
adoptable,Rhodesian Ridgeback,7
adoptable,Rottweiler,8
adoptable,Schnauzer,7
adoptable,Shar-Pei,9
adoptable,Shepherd,111
adoptable,Shiba Inu,1
adoptable,Shih Tzu,3
adoptable,Siberian Husky,11
adoptable,Smooth Collie,1
adoptable,Spaniel,2
