id,id,organization_id,url,type,species,age,gender,size,coat,tags,name,description,organization_animal_id,photos,videos,status,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.spayed_neutered,attributes.house_trained,attributes.declawed,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,primary_photo_cropped.small,primary_photo_cropped.medium,primary_photo_cropped.large,primary_photo_cropped.full,contact.email,contact.phone,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,contact.address.country,animal_id,animal_type,organization_id,primary_photo_cropped
0,49795186,TX1030,https://www.petfinder.com/dog/wendy-49795186/tx/kerrville/animal-welfare-society-of-kerr-co-freeman-fritts-tx1030/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Female,Small,Short,[],Wendy,"Wendy is a sweet and sensitive girl! 
She is one of those who has had a hard start in life....",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/1/?bust=1605411636&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/1/?bust=1605411636&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/1/?bust=1605411636&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/1/?bust=1605411636'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/2/?bust=1605411637&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/2/?bust=1605411637&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/2/?bust=1605411637&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/2/?bust=1605411637'}]",[],adoptable,2020-11-15T03:41:31+0000,2020-11-15T03:41:31+0000,124.1856,Terrier,,True,False,"Tricolor (Brown, Black, & White)",,,True,False,,False,True,,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/1/?bust=1605411636&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/1/?bust=1605411636&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/1/?bust=1605411636&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795186/1/?bust=1605411636,freemanfritts@stx.rr.com,(830) 955-9041,515 Spur 100,,Kerrville,TX,78028,US,49795186,dog,tx1030,
1,49795047,TX1030,https://www.petfinder.com/dog/meg-49795047/tx/kerrville/animal-welfare-society-of-kerr-co-freeman-fritts-tx1030/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Baby,Female,Large,Short,[],Meg,"Meet Meg! 

She is a very big, very goofy girl and she is ready for her forever home! Meg is...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/1/?bust=1605410479&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/1/?bust=1605410479&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/1/?bust=1605410479&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/1/?bust=1605410479'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/2/?bust=1605410489&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/2/?bust=1605410489&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/2/?bust=1605410489&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/2/?bust=1605410489'}]",[],adoptable,2020-11-15T03:25:23+0000,2020-11-15T03:25:23+0000,124.1856,Shepherd,,True,False,Bicolor,,,False,False,,False,False,,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/1/?bust=1605410479&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/1/?bust=1605410479&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/1/?bust=1605410479&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49795047/1/?bust=1605410479,freemanfritts@stx.rr.com,(830) 955-9041,515 Spur 100,,Kerrville,TX,78028,US,49795047,dog,tx1030,
2,49793320,TX95,https://www.petfinder.com/dog/stumpy-49793320/tx/buchanan-dam/hill-country-humane-society-tx95/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,Short,[],Stumpy,"MY NAME IS:  Stumpy
POSTED TO PETFINDER DATE:  Nov 14, 2020
SIZE: 20 pounds
APPROXIMATE AGE:  1 year
SHELTER STAFF...",20-1005,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/2/?bust=1605394162&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/2/?bust=1605394162&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/2/?bust=1605394162&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/2/?bust=1605394162'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/1/?bust=1605394159&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/1/?bust=1605394159&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/1/?bust=1605394159&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/1/?bust=1605394159'}]",[],adoptable,2020-11-14T22:51:24+0000,2020-11-14T22:51:24+0000,129.5816,Beagle,,False,False,"Tricolor (Brown, Black, & White)",,,False,False,,False,False,,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/2/?bust=1605394162&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/2/?bust=1605394162&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/2/?bust=1605394162&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793320/2/?bust=1605394162,hillcountryhs@gmail.com,(512) 793-5463,9150 Ranch Road 1431 West,,Buchanan Dam,TX,78609,US,49793320,dog,tx95,
3,49793301,TX364,https://www.petfinder.com/dog/rose-49793301/tx/bandera/cowboy-capital-pet-assistance-league-inc-tx364/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Female,Small,,[],Rose,Welcome Rose to CCPAL Rescue.  She is a beautiful 16-week old Chihuahua mix pup.  She came in from a hoarder...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/1/?bust=1605393979&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/1/?bust=1605393979&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/1/?bust=1605393979&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/1/?bust=1605393979'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/2/?bust=1605393983&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/2/?bust=1605393983&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/2/?bust=1605393983&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/2/?bust=1605393983'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/3/?bust=1605393983&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/3/?bust=1605393983&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/3/?bust=1605393983&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/3/?bust=1605393983'}]","[{'embed': '<iframe title=""Video"" src=""https://www.youtube.com/embed/az6INlTGUkM?enablejsapi=1"" frameborder=""0"" allowfullscreen></iframe>'}]",adoptable,2020-11-14T22:47:40+0000,2020-11-14T22:47:40+0000,143.6618,Chihuahua,,False,False,,,,True,True,,False,True,True,True,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/1/?bust=1605393979&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/1/?bust=1605393979&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/1/?bust=1605393979&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793301/1/?bust=1605393979,maudreyh@aol.com,(210) 867-1769,P.O. Box 2200,,Bandera,TX,78003,US,49793301,dog,tx364,
4,49793273,TX95,https://www.petfinder.com/dog/bodean-49793273/tx/buchanan-dam/hill-country-humane-society-tx95/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Medium,Short,[],Bodean,"MY NAME IS:  Bodean
POSTED TO PETFINDER DATE:  Nov 14, 2020
SIZE: 32 pounds
APPROXIMATE AGE: 4 months
SHELTER STAFF...",20-1003,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/2/?bust=1605393870&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/2/?bust=1605393870&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/2/?bust=1605393870&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/2/?bust=1605393870'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/1/?bust=1605393536&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/1/?bust=1605393536&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/1/?bust=1605393536&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/1/?bust=1605393536'}]",[],adoptable,2020-11-14T22:44:38+0000,2020-11-14T22:44:38+0000,129.5816,Hound,,True,False,Bicolor,Red / Chestnut / Orange,,False,False,,False,False,,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/2/?bust=1605393870&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/2/?bust=1605393870&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/2/?bust=1605393870&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793273/2/?bust=1605393870,hillcountryhs@gmail.com,(512) 793-5463,9150 Ranch Road 1431 West,,Buchanan Dam,TX,78609,US,49793273,dog,tx95,
5,49793163,TX95,https://www.petfinder.com/dog/belgian-49793163/tx/buchanan-dam/hill-country-humane-society-tx95/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Medium,Short,[],Belgian,"MY NAME IS:  Belgian
POSTED TO PETFINDER DATE: Nov 14, 2020
SIZE: 37 pounds
APPROXIMATE AGE: 9 months
SHELTER STAFF...",20-1008,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/3/?bust=1605393108&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/3/?bust=1605393108&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/3/?bust=1605393108&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/3/?bust=1605393108'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/1/?bust=1605393104&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/1/?bust=1605393104&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/1/?bust=1605393104&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/1/?bust=1605393104'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/2/?bust=1605393107&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/2/?bust=1605393107&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/2/?bust=1605393107&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/2/?bust=1605393107'}]",[],adoptable,2020-11-14T22:32:13+0000,2020-11-14T22:32:13+0000,129.5816,Labrador Retriever,,True,False,Black,White / Cream,,False,False,,False,False,,True,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/3/?bust=1605393108&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/3/?bust=1605393108&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/3/?bust=1605393108&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793163/3/?bust=1605393108,hillcountryhs@gmail.com,(512) 793-5463,9150 Ranch Road 1431 West,,Buchanan Dam,TX,78609,US,49793163,dog,tx95,
6,49793072,TX364,https://www.petfinder.com/dog/charlie-49793072/tx/bandera/cowboy-capital-pet-assistance-league-inc-tx364/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Small,,[],Charlie,Welcome Charlie to CCPAL Rescue.  Charlie is 2 years old.  He is a Rat Terrier/Italian Greyhound is our best guess....,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/4/?bust=1605392254&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/4/?bust=1605392254&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/4/?bust=1605392254&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/4/?bust=1605392254'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/1/?bust=1605392243&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/1/?bust=1605392243&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/1/?bust=1605392243&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/1/?bust=1605392243'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/2/?bust=1605392246&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/2/?bust=1605392246&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/2/?bust=1605392246&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/2/?bust=1605392246'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/3/?bust=1605392250&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/3/?bust=1605392250&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/3/?bust=1605392250&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/3/?bust=1605392250'}]","[{'embed': '<iframe title=""Video"" src=""https://www.youtube.com/embed/B8oMhOKfQV0?enablejsapi=1"" frameborder=""0"" allowfullscreen></iframe>'}]",adoptable,2020-11-14T22:19:05+0000,2020-11-14T22:19:05+0000,143.6618,Rat Terrier,Italian Greyhound,True,False,,,,True,True,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/4/?bust=1605392254&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/4/?bust=1605392254&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/4/?bust=1605392254&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49793072/4/?bust=1605392254,maudreyh@aol.com,(210) 867-1769,P.O. Box 2200,,Bandera,TX,78003,US,49793072,dog,tx364,
7,49792989,TX364,https://www.petfinder.com/dog/roscoe-and-princess-49792989/tx/bandera/cowboy-capital-pet-assistance-league-inc-tx364/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,,[],Roscoe and Princess,Welcome Roscoe and Princess to CCPAL Rescue.  This is a bonded pair of Toy Fox Terriers.  They weigh about 10lbs...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/1/?bust=1605391641&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/1/?bust=1605391641&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/1/?bust=1605391641&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/1/?bust=1605391641'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/2/?bust=1605391646&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/2/?bust=1605391646&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/2/?bust=1605391646&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/2/?bust=1605391646'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/3/?bust=1605391646&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/3/?bust=1605391646&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/3/?bust=1605391646&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/3/?bust=1605391646'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/4/?bust=1605391651&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/4/?bust=1605391651&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/4/?bust=1605391651&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/4/?bust=1605391651'}]","[{'embed': '<iframe title=""Video"" src=""https://www.youtube.com/embed/aSKI4TAZ8kk?enablejsapi=1"" frameborder=""0"" allowfullscreen></iframe>'}]",adoptable,2020-11-14T22:08:22+0000,2020-11-14T22:08:22+0000,143.6618,Fox Terrier,,False,False,,,,True,True,,False,True,True,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/1/?bust=1605391641&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/1/?bust=1605391641&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/1/?bust=1605391641&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792989/1/?bust=1605391641,maudreyh@aol.com,(210) 867-1769,P.O. Box 2200,,Bandera,TX,78003,US,49792989,dog,tx364,
8,49792471,TX95,https://www.petfinder.com/dog/chase-49792471/tx/buchanan-dam/hill-country-humane-society-tx95/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,Medium,[],Chase,"MY NAME IS:  Chase
POSTED TO PETFINDER DATE:  Nov 14, 2020
SIZE: 39 pounds
APPROXIMATE AGE: 2 years
SHELTER STAFF...",20-0993,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/1/?bust=1605388934&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/1/?bust=1605388934&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/1/?bust=1605388934&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/1/?bust=1605388934'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/2/?bust=1605388938&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/2/?bust=1605388938&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/2/?bust=1605388938&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/2/?bust=1605388938'}]",[],adoptable,2020-11-14T21:22:54+0000,2020-11-14T21:22:54+0000,129.5816,Australian Shepherd,,True,False,Gray / Blue / Silver,White / Cream,,True,False,,False,False,,True,False,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/1/?bust=1605388934&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/1/?bust=1605388934&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/1/?bust=1605388934&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792471/1/?bust=1605388934,hillcountryhs@gmail.com,(512) 793-5463,9150 Ranch Road 1431 West,,Buchanan Dam,TX,78609,US,49792471,dog,tx95,
9,49792446,TX95,https://www.petfinder.com/dog/yam-ma-49792446/tx/buchanan-dam/hill-country-humane-society-tx95/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Medium,Short,[],Yam-Ma,"MY NAME IS:  Yam-ma
POSTED TO PETFINDER DATE:  Nov 14, 2020
SIZE: 34 pounds
APPROXIMATE AGE: 2 years
SHELTER STAFF...",20-0982,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/2/?bust=1605388641&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/2/?bust=1605388641&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/2/?bust=1605388641&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/2/?bust=1605388641'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/1/?bust=1605388639&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/1/?bust=1605388639&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/1/?bust=1605388639&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/1/?bust=1605388639'}]",[],adoptable,2020-11-14T21:18:24+0000,2020-11-14T21:18:24+0000,129.5816,Terrier,,True,False,"Tricolor (Brown, Black, & White)",,,False,False,,True,False,,True,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/2/?bust=1605388641&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/2/?bust=1605388641&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/2/?bust=1605388641&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49792446/2/?bust=1605388641,hillcountryhs@gmail.com,(512) 793-5463,9150 Ranch Road 1431 West,,Buchanan Dam,TX,78609,US,49792446,dog,tx95,
